"","Zip","Median","Pop","city","state","latitude","longitude"
"361","02151",51723.3952,"47323","Revere","MA",42.416247,-71.00525
"362","02152",68218.3777,"18303","Winthrop","MA",42.373047,-70.97803
"363","02155",69802.7484,"57291","Medford","MA",42.419846,-71.10942
"364","02163",23429,"929","Boston","MA",42.367946,-71.12056
"365","02169",56647.4918,"52278","Quincy","MA",42.250739,-70.99593
"366","02170",64308.8227,"19203","Quincy","MA",42.267049,-71.01834
"367","02171",66807.6398,"16610","Quincy","MA",42.284498,-71.02316
"368","02176",85681.1408,"27173","Melrose","MA",42.459045,-71.06233
"369","02180",78103.0139,"22116","Stoneham","MA",42.480145,-71.09835
"370","02184",77128.9206,"33731","Braintree","MA",42.209555,-70.99968
"371","02186",98712.0135,"26112","Milton","MA",42.253074,-71.07496
"372","02188",65251.0616,"13828","Weymouth","MA",42.212866,-70.95872
"373","02189",62490.562,"14455","Weymouth","MA",42.2112,-70.93111
"374","02190",74204.902,"16780","Weymouth","MA",42.1711,-70.94597
"375","02191",68143.1044,"8916","Weymouth","MA",42.242749,-70.94434
"376","02199",68080,"1004","Boston","MA",42.34713,-71.08234
"377","02203",106602,"1","Boston","MA",42.361485,-71.060364
"378","02210",61807.476,"413","Boston","MA",42.347974,-71.04463
"379","02215",30726.3479,"21896","Boston","MA",42.346997,-71.10215
"380","02301",48469.7137,"61459","Brockton","MA",42.0794,-71.03441
"381","02302",62408.1163,"32523","Brockton","MA",42.08715,-71.00222
"382","02322",67313,"4483","Avon","MA",42.121932,-71.04522
"383","02324",80878.9384,"22922","Bridgewater","MA",41.979501,-70.97215
"384","02330",70048.2261,"11169","Carver","MA",41.873697,-70.7656
"385","02332",116903.8897,"14241","Duxbury","MA",42.031371,-70.70105
"386","02333",82133.4644,"13012","East Bridgewater","MA",42.029083,-70.95227
"387","02339",104787.0664,"13171","Hanover","MA",42.12867,-70.85913
"388","02341",81912.4904,"9550","Hanson","MA",42.059434,-70.86205
"389","02343",62560.2982,"10705","Holbrook","MA",42.148351,-71.01037
"390","02346",72466.3457,"19926","Middleboro","MA",41.889582,-70.89406
"391","02347",94495.1204,"9810","Lakeville","MA",41.835094,-70.95973
"392","02351",75849.6439,"14614","Abington","MA",42.119534,-70.94787
"393","02356",99681.8336,"12966","North Easton","MA",42.058507,-71.11309
"394","02357",101136,"323","North Easton","MA",42.064499,-71.087091
"395","02359",83622.3472,"16907","Pembroke","MA",42.065554,-70.80426
"396","02360",74602.7291,"51563","Plymouth","MA",41.894676,-70.61999
"397","02364",78922.8496,"11805","Kingston","MA",41.993102,-70.73827
"398","02366",89632,"126","South Carver","MA",41.854063,-70.66088
"399","02367",87917,"2622","Plympton","MA",41.968987,-70.80452
"400","02368",65118.3222,"30999","Randolph","MA",42.173417,-71.04912
"401","02370",62854.96,"17665","Rockland","MA",42.129513,-70.91189
"402","02375",78410.2933,"9034","South Easton","MA",42.029749,-71.10191
"403","02379",73651.4978,"6610","West Bridgewater","MA",42.02195,-71.01878
"404","02382",77027.0185,"13867","Whitman","MA",42.08235,-70.93734
"405","02420",139453.0998,"14109","Lexington","MA",42.452895,-71.21619
